"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.12.2025","2,109","2,109","2,109","2,109","0,81%"
"30.12.2025","2,092","2,074","2,096","2,029","-0,05%"
"29.12.2025","2,093","2,102","2,103","2,032","-0,99%"
"24.12.2025","2,114","2,114","2,114","2,114","0,33%"
"23.12.2025","2,107","2,048","2,110","2,045","-0,24%"
"22.12.2025","2,112","2,060","2,115","2,052","2,77%"
"19.12.2025","2,055","2,055","2,057","2,048","1,58%"
"18.12.2025","2,023","2,071","2,084","2,012","-2,18%"
"17.12.2025","2,068","2,052","2,076","2,000","0,05%"
"16.12.2025","2,067","2,015","2,075","2,005","-0,14%"
"15.12.2025","2,070","2,098","2,116","2,000","-1,29%"
"12.12.2025","2,097","2,095","2,107","2,035","3,05%"
"11.12.2025","2,035","2,098","2,100","2,033","-3,14%"
"10.12.2025","2,101","2,047","2,116","2,029","0,14%"
"09.12.2025","2,098","2,014","2,101","2,007","1,16%"
"08.12.2025","2,074","2,057","2,079","1,999","1,97%"
"05.12.2025","2,034","1,983","2,048","1,982","0,05%"
"04.12.2025","2,033","2,028","2,042","1,969","3,41%"
"03.12.2025","1,966","1,987","2,051","1,965","-3,91%"
"02.12.2025","2,046","1,994","2,065","1,975","2,30%"
"01.12.2025","2,000","1,999","2,059","1,974","0,30%"
"28.11.2025","1,994","2,003","2,010","1,979","-0,25%"
"27.11.2025","1,999","1,997","2,017","1,983","0,10%"
"26.11.2025","1,997","2,006","2,006","1,982","0,40%"
"25.11.2025","1,989","2,007","2,008","1,987","-0,95%"
"24.11.2025","2,008","2,011","2,016","1,987","0,20%"
"21.11.2025","2,004","1,994","2,008","1,984","-0,45%"
"20.11.2025","2,013","2,004","2,015","1,988","0,10%"
"19.11.2025","2,011","2,016","2,017","1,990","-0,40%"
"18.11.2025","2,019","1,999","2,019","1,997","0,65%"
"17.11.2025","2,006","2,021","2,026","2,000","-0,40%"
"14.11.2025","2,014","2,014","2,025","1,997","-0,15%"
"13.11.2025","2,017","2,014","2,028","1,993","0,35%"
"12.11.2025","2,010","2,006","2,025","2,000","0,15%"
"11.11.2025","2,007","2,002","2,020","1,997","0,30%"
"10.11.2025","2,001","2,009","2,020","2,000","-0,20%"
"07.11.2025","2,005","2,007","2,023","2,002","-0,25%"
"06.11.2025","2,010","2,013","2,023","2,002","-0,25%"
"05.11.2025","2,015","2,017","2,026","2,005","-0,69%"
"04.11.2025","2,029","2,027","2,036","2,010","-0,25%"
"03.11.2025","2,034","2,015","2,035","2,012","1,04%"
"31.10.2025","2,013","2,002","2,030","2,002","-0,20%"
"30.10.2025","2,017","2,032","2,038","2,007","0,30%"
"29.10.2025","2,011","2,015","2,028","2,009","-0,35%"
"28.10.2025","2,018","2,027","2,030","2,012","-0,49%"
"27.10.2025","2,028","2,034","2,037","2,016","0,45%"
"24.10.2025","2,019","2,008","2,039","1,987","0,55%"
"23.10.2025","2,008","1,995","2,013","1,977","1,31%"
"22.10.2025","1,982","2,001","2,010","1,982","-1,34%"
"21.10.2025","2,009","2,015","2,021","1,998","-0,59%"
"20.10.2025","2,021","2,045","2,047","2,015","-0,79%"
"17.10.2025","2,037","1,990","2,044","1,985","1,09%"
"16.10.2025","2,015","1,967","2,035","1,965","2,44%"
"15.10.2025","1,967","1,977","1,980","1,958","-0,61%"
"14.10.2025","1,979","1,957","1,981","1,948","0,66%"
"13.10.2025","1,966","1,986","1,990","1,962","-0,96%"
"10.10.2025","1,985","2,004","2,026","1,971","-1,00%"
"09.10.2025","2,005","2,001","2,005","1,987","0,20%"
"08.10.2025","2,001","2,023","2,026","1,985","-1,38%"
"07.10.2025","2,029","2,037","2,040","2,019","-0,49%"
"06.10.2025","2,039","2,046","2,052","2,027","-0,54%"
"03.10.2025","2,050","2,054","2,056","2,033","0,24%"
"02.10.2025","2,045","2,055","2,058","2,037","-0,34%"
"01.10.2025","2,052","2,060","2,063","2,031","-0,15%"
"30.09.2025","2,055","2,047","2,057","2,037","0,20%"
"29.09.2025","2,051","2,047","2,055","2,031","0,69%"
"26.09.2025","2,037","2,038","2,053","2,035","-0,15%"
"25.09.2025","2,040","2,043","2,055","2,028","-0,24%"
"24.09.2025","2,045","2,046","2,046","2,033","0,64%"
"23.09.2025","2,032","2,028","2,046","2,024","-0,25%"
"22.09.2025","2,037","2,036","2,043","2,031","-0,20%"
"19.09.2025","2,041","2,037","2,045","2,032","0,10%"
"18.09.2025","2,039","2,030","2,039","2,022","0,34%"
"17.09.2025","2,032","2,030","2,036","2,027","-0,05%"
"16.09.2025","2,033","2,038","2,039","2,026","-0,25%"
"15.09.2025","2,038","2,022","2,038","2,021","0,34%"
"12.09.2025","2,031","2,026","2,041","2,023","0,79%"
"11.09.2025","2,015","2,001","2,033","1,985","0,55%"
"10.09.2025","2,004","1,997","2,006","1,983","0,80%"
"09.09.2025","1,988","1,990","2,028","1,977","-0,05%"
"08.09.2025","1,989","2,001","2,002","1,975","-0,40%"
"05.09.2025","1,997","2,018","2,047","1,979","-0,99%"
"04.09.2025","2,017","2,014","2,017","2,001","0,25%"
"03.09.2025","2,012","2,019","2,025","2,008","-0,40%"
"02.09.2025","2,020","2,022","2,026","2,007","0,40%"
"01.09.2025","2,012","2,003","2,014","1,992","0,70%"
"29.08.2025","1,998","1,996","2,010","1,984","0,05%"
"28.08.2025","1,997","1,978","2,003","1,977","0,86%"
"27.08.2025","1,980","2,004","2,004","1,976","-1,10%"
"26.08.2025","2,002","1,998","2,007","1,983","-0,65%"
"25.08.2025","2,015","2,004","2,016","1,994","0,95%"
"22.08.2025","1,996","2,012","2,017","1,981","-0,99%"
"21.08.2025","2,016","1,970","2,017","1,970","1,66%"
"20.08.2025","1,983","1,981","1,996","1,969","-0,10%"
"19.08.2025","1,985","1,998","2,000","1,981","-0,85%"
"18.08.2025","2,002","2,000","2,022","1,976","0,05%"
